age,M,F
0,31876,30381
1,32824,31205
2,34031,32287
3,34785,33291
4,36215,34620
5,36831,35573
6,37033,35484
7,36853,35313
8,36444,35080
9,34309,32641
10,33167,31626
11,33016,30998
12,32896,31429
13,32317,31214
14,31982,30831
15,31483,30160
16,31183,29806
17,31540,29778
18,31383,29911
19,29319,28253
20,28508,27829
21,27407,26990
22,27326,27026
23,27272,26663
24,27071,27544
25,28794,28484
26,27683,28574
27,30239,31413
28,28452,31004
29,30054,32738
30,32752,35595
31,32801,35533
32,34210,37562
33,35990,39714
34,37426,40392
35,39840,41705
36,40892,42304
37,37494,39690
38,36818,37863
39,36001,36814
40,36521,36893
41,35674,36300
42,35307,35865
43,35450,35838
44,34530,35082
45,35243,35214
46,33525,33683
47,31932,31708
48,31315,31631
49,30809,31050
50,30765,31223
51,30446,31352
52,29603,30580
53,29032,29875
54,28366,28693
55,28324,28932
56,27045,27862
57,27175,27284
58,25894,26534
59,25420,25632
60,24802,25063
61,24435,24810
62,23536,23764
63,23523,23879
64,22402,22642
65,22120,22036
66,21361,22185
67,21074,21368
68,20651,20738
69,19755,19948
70,18689,19132
71,16991,17621
72,15919,16511
73,14611,15608
74,13291,13899
75,12142,13307
76,11755,12955
77,10901,12441
78,9955,11534
79,9364,11113
80,8679,10608
81,7846,9975
82,7067,9272
83,6202,8282
84,5402,7704
85,4849,7098
86,3968,6363
87,3180,5605
88,2562,4816
89,2117,4304
90,1673,3705
91,1324,3054
92,966,2452
93,747,1986
94,524,1543
95,388,1163
96,321,889
97,192,542
98,93,357
99,74,244
100,84,372
