CountyName,date,province,14-Day Rate (Cases/100k),14-Day Rate of Growth,Cases/100k
Carlow,20200318,Leinster,0.0,0.0,0.0
Cavan,20200318,Ulster,0.0,0.0,0.0
Meath,20200318,Leinster,0.0,0.0,0.0
Roscommon,20200318,Connaught,0.0,0.0,0.0
Westmeath,20200318,Leinster,0.0,0.0,0.0
Mayo,20200318,Connaught,0.0,0.0,0.0
Clare,20200318,Munster,0.0,0.0,0.0
Louth,20200318,Leinster,0.0,0.0,0.0
Longford,20200318,Leinster,0.0,0.0,0.0
Cork,20200318,Munster,0.0,0.0,0.0
Limerick,20200318,Munster,0.0,0.0,0.0
Monaghan,20200318,Ulster,0.0,0.0,0.0
Leitrim,20200318,Connaught,0.0,0.0,0.0
Wexford,20200318,Leinster,0.0,0.0,0.0
Laois,20200318,Leinster,0.0,0.0,0.0
Tipperary,20200318,Munster,0.0,0.0,0.0
Waterford,20200318,Munster,0.0,0.0,0.0
Wicklow,20200318,Leinster,0.0,0.0,0.0
Dublin,20200318,Leinster,0.0,0.0,0.0
Sligo,20200318,Connaught,0.0,0.0,0.0
Kilkenny,20200318,Leinster,0.0,0.0,0.0
Galway,20200318,Connaught,0.0,0.0,0.0
Kildare,20200318,Leinster,0.0,0.0,0.0
Donegal,20200318,Ulster,0.0,0.0,0.0
Offaly,20200318,Leinster,0.0,0.0,0.0
Kerry,20200318,Munster,0.0,0.0,0.0
Tipperary,20200319,Munster,0.0,0.0,0.0
Mayo,20200319,Connaught,0.0,0.0,0.0
Wexford,20200319,Leinster,0.0,0.0,0.0
Clare,20200319,Munster,0.0,0.0,0.0
Laois,20200319,Leinster,0.0,0.0,0.0
Sligo,20200319,Connaught,0.0,0.0,0.0
Donegal,20200319,Ulster,0.0,0.0,0.0
Leitrim,20200319,Connaught,0.0,0.0,0.0
Westmeath,20200319,Leinster,0.0,0.0,0.0
Offaly,20200319,Leinster,0.0,0.0,0.0
Limerick,20200319,Munster,0.0,0.0,0.0
Roscommon,20200319,Connaught,0.0,0.0,0.0
Dublin,20200319,Leinster,0.0,0.0,0.0
Kildare,20200319,Leinster,0.0,0.0,0.0
Carlow,20200319,Leinster,0.0,0.0,0.0
Cavan,20200319,Ulster,0.0,0.0,0.0
Galway,20200319,Connaught,0.0,0.0,0.0
Wicklow,20200319,Leinster,0.0,0.0,0.0
Kilkenny,20200319,Leinster,0.0,0.0,0.0
Louth,20200319,Leinster,0.0,0.0,0.0
Cork,20200319,Munster,0.0,0.0,0.0
Longford,20200319,Leinster,0.0,0.0,0.0
Waterford,20200319,Munster,0.0,0.0,0.0
Monaghan,20200319,Ulster,0.0,0.0,0.0
Kerry,20200319,Munster,0.0,0.0,0.0
Meath,20200319,Leinster,0.0,0.0,0.0
