Entity,Code,Date,"Excess mortality P-scores, all ages (%)"
Austria,AUT,"Jan 5, 2020",-11
Austria,AUT,"Jan 12, 2020",-8
Austria,AUT,"Jan 19, 2020",1
Austria,AUT,"Jan 26, 2020",2
Austria,AUT,"Feb 2, 2020",7
Austria,AUT,"Feb 9, 2020",-9
Austria,AUT,"Feb 16, 2020",-5
Austria,AUT,"Feb 23, 2020",-6
Austria,AUT,"Mar 1, 2020",-3
Austria,AUT,"Mar 8, 2020",-1
Austria,AUT,"Mar 15, 2020",0
Austria,AUT,"Mar 22, 2020",15
Austria,AUT,"Mar 29, 2020",7
Austria,AUT,"Apr 5, 2020",15
Austria,AUT,"Apr 12, 2020",16
Austria,AUT,"Apr 19, 2020",12
Austria,AUT,"Apr 26, 2020",8
Austria,AUT,"May 3, 2020",1
Austria,AUT,"May 10, 2020",5
Austria,AUT,"May 17, 2020",2
Austria,AUT,"May 24, 2020",4
Austria,AUT,"May 31, 2020",0
Austria,AUT,"Jun 7, 2020",5
Austria,AUT,"Jun 14, 2020",1
Austria,AUT,"Jun 21, 2020",0
Austria,AUT,"Jun 28, 2020",3
Austria,AUT,"Jul 5, 2020",8
Austria,AUT,"Jul 12, 2020",0
Austria,AUT,"Jul 19, 2020",-2
Austria,AUT,"Jul 26, 2020",-3
Austria,AUT,"Aug 2, 2020",1
Austria,AUT,"Aug 9, 2020",1
Belgium,BEL,"Jan 5, 2020",-7
Belgium,BEL,"Jan 12, 2020",-2
Belgium,BEL,"Jan 19, 2020",-5
Belgium,BEL,"Jan 26, 2020",-9
Belgium,BEL,"Feb 2, 2020",-6
Belgium,BEL,"Feb 9, 2020",-13
Belgium,BEL,"Feb 16, 2020",-9
Belgium,BEL,"Feb 23, 2020",-8
Belgium,BEL,"Mar 1, 2020",-12
Belgium,BEL,"Mar 8, 2020",-10
Belgium,BEL,"Mar 15, 2020",-5
Belgium,BEL,"Mar 22, 2020",10
Belgium,BEL,"Mar 29, 2020",43
Belgium,BEL,"Apr 5, 2020",90
Belgium,BEL,"Apr 12, 2020",104
Belgium,BEL,"Apr 19, 2020",80
Belgium,BEL,"Apr 26, 2020",49
Belgium,BEL,"May 3, 2020",20
Belgium,BEL,"May 10, 2020",17
Belgium,BEL,"May 17, 2020",3
Belgium,BEL,"May 24, 2020",5
Belgium,BEL,"May 31, 2020",2
Belgium,BEL,"Jun 7, 2020",-5
Belgium,BEL,"Jun 14, 2020",1
Belgium,BEL,"Jun 21, 2020",-6
Belgium,BEL,"Jun 28, 2020",3
Belgium,BEL,"Jul 5, 2020",-13
Belgium,BEL,"Jul 12, 2020",-10
Belgium,BEL,"Jul 19, 2020",-4
Belgium,BEL,"Jul 26, 2020",-11
Belgium,BEL,"Aug 2, 2020",2
Belgium,BEL,"Aug 9, 2020",5
Bulgaria,BGR,"Jan 5, 2020",-19
Bulgaria,BGR,"Jan 12, 2020",-12
Bulgaria,BGR,"Jan 19, 2020",-14
Bulgaria,BGR,"Jan 26, 2020",-5
Bulgaria,BGR,"Feb 2, 2020",-1
Bulgaria,BGR,"Feb 9, 2020",1
Bulgaria,BGR,"Feb 16, 2020",0
Bulgaria,BGR,"Feb 23, 2020",-6
Bulgaria,BGR,"Mar 1, 2020",-5
Bulgaria,BGR,"Mar 8, 2020",-10
Bulgaria,BGR,"Mar 15, 2020",-6
Bulgaria,BGR,"Mar 22, 2020",-6
Bulgaria,BGR,"Mar 29, 2020",-4
Bulgaria,BGR,"Apr 5, 2020",-5
Bulgaria,BGR,"Apr 12, 2020",-3
Bulgaria,BGR,"Apr 19, 2020",-3
Bulgaria,BGR,"Apr 26, 2020",-4
Bulgaria,BGR,"May 3, 2020",-7
Bulgaria,BGR,"May 10, 2020",-6
Bulgaria,BGR,"May 17, 2020",5
Bulgaria,BGR,"May 24, 2020",-5
Bulgaria,BGR,"May 31, 2020",-8
Bulgaria,BGR,"Jun 7, 2020",-1
Bulgaria,BGR,"Jun 14, 2020",0
Bulgaria,BGR,"Jun 21, 2020",-3
Bulgaria,BGR,"Jun 28, 2020",-3
Bulgaria,BGR,"Jul 5, 2020",12
Bulgaria,BGR,"Jul 12, 2020",4
Bulgaria,BGR,"Jul 19, 2020",-3
Bulgaria,BGR,"Jul 26, 2020",-1
Bulgaria,BGR,"Aug 2, 2020",9
Bulgaria,BGR,"Aug 9, 2020",5
Bulgaria,BGR,"Aug 16, 2020",4
Czech Republic,CZE,"Jan 5, 2020",-3
Czech Republic,CZE,"Jan 12, 2020",-1
Czech Republic,CZE,"Jan 19, 2020",-6
Czech Republic,CZE,"Jan 26, 2020",-2
Czech Republic,CZE,"Feb 2, 2020",-2
Czech Republic,CZE,"Feb 9, 2020",-5
Czech Republic,CZE,"Feb 16, 2020",-5
Czech Republic,CZE,"Feb 23, 2020",-6
Czech Republic,CZE,"Mar 1, 2020",-5
Czech Republic,CZE,"Mar 8, 2020",-5
Czech Republic,CZE,"Mar 15, 2020",-2
