state_code,date,total_cases,total_deaths,state,population,new_cases,new_deaths
WA,2020-01-22,2.0,,Washington,7614893.0,2.0,
WA,2020-01-23,2.0,,Washington,7614893.0,0.0,
WA,2020-01-24,2.0,,Washington,7614893.0,0.0,
WA,2020-01-25,2.0,,Washington,7614893.0,0.0,
WA,2020-01-26,2.0,,Washington,7614893.0,0.0,
WA,2020-01-27,2.0,,Washington,7614893.0,0.0,
WA,2020-01-28,2.0,,Washington,7614893.0,0.0,
WA,2020-01-29,3.0,,Washington,7614893.0,1.0,
WA,2020-01-30,3.0,,Washington,7614893.0,0.0,
WA,2020-01-31,3.0,,Washington,7614893.0,0.0,
WA,2020-02-01,4.0,,Washington,7614893.0,1.0,
WA,2020-02-02,6.0,,Washington,7614893.0,2.0,
WA,2020-02-03,7.0,,Washington,7614893.0,1.0,
WA,2020-02-04,8.0,,Washington,7614893.0,1.0,
WA,2020-02-05,8.0,,Washington,7614893.0,0.0,
WA,2020-02-06,11.0,,Washington,7614893.0,3.0,
WA,2020-02-07,12.0,,Washington,7614893.0,1.0,
WA,2020-02-08,13.0,,Washington,7614893.0,1.0,
WA,2020-02-09,13.0,,Washington,7614893.0,0.0,
WA,2020-02-10,16.0,,Washington,7614893.0,3.0,
NJ,2020-02-10,,1.0,New Jersey,8882190.0,,1.0
WA,2020-02-11,17.0,,Washington,7614893.0,1.0,
NJ,2020-02-11,,1.0,New Jersey,8882190.0,,0.0
WA,2020-02-12,18.0,,Washington,7614893.0,1.0,
NJ,2020-02-12,,1.0,New Jersey,8882190.0,,0.0
NJ,2020-02-13,,1.0,New Jersey,8882190.0,,0.0
WA,2020-02-13,18.0,,Washington,7614893.0,0.0,
WA,2020-02-14,21.0,,Washington,7614893.0,3.0,
NJ,2020-02-14,,2.0,New Jersey,8882190.0,,1.0
NJ,2020-02-15,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-15,28.0,,Washington,7614893.0,7.0,
WA,2020-02-16,35.0,,Washington,7614893.0,7.0,
NJ,2020-02-16,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-17,50.0,,Washington,7614893.0,15.0,
NJ,2020-02-17,,2.0,New Jersey,8882190.0,,0.0
NJ,2020-02-18,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-18,59.0,,Washington,7614893.0,9.0,
NJ,2020-02-19,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-19,69.0,,Washington,7614893.0,10.0,
WA,2020-02-20,82.0,,Washington,7614893.0,13.0,
NJ,2020-02-20,,2.0,New Jersey,8882190.0,,0.0
NJ,2020-02-21,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-21,93.0,,Washington,7614893.0,11.0,
NJ,2020-02-22,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-22,106.0,,Washington,7614893.0,13.0,
WA,2020-02-23,122.0,,Washington,7614893.0,16.0,
NJ,2020-02-23,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-24,148.0,,Washington,7614893.0,26.0,
NJ,2020-02-24,,2.0,New Jersey,8882190.0,,0.0
NJ,2020-02-25,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-25,179.0,,Washington,7614893.0,31.0,
WA,2020-02-26,208.0,2.0,Washington,7614893.0,29.0,2.0
NJ,2020-02-26,,2.0,New Jersey,8882190.0,,0.0
NJ,2020-02-27,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-27,235.0,2.0,Washington,7614893.0,27.0,0.0
WA,2020-02-28,275.0,4.0,Washington,7614893.0,40.0,2.0
NJ,2020-02-28,,2.0,New Jersey,8882190.0,,0.0
WA,2020-02-29,299.0,5.0,Washington,7614893.0,24.0,1.0
NJ,2020-02-29,,2.0,New Jersey,8882190.0,,0.0
WA,2020-03-01,377.0,8.0,Washington,7614893.0,78.0,3.0
RI,2020-03-01,2.0,,Rhode Island,1059361.0,2.0,
NJ,2020-03-01,,2.0,New Jersey,8882190.0,,0.0
MI,2020-03-01,9.0,,Michigan,9986857.0,9.0,
