state,date,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,aggregation,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel
Washington,2020-01-22,2.0,,7614893.0,,,Washington,,,,,,
,2020-01-22,2.0,0.0,7614893.0,,,us,,,,,,
,2020-01-23,0.0,0.0,7614893.0,,,us,,,,,,
Washington,2020-01-23,0.0,,7614893.0,,,Washington,,,,,,
Washington,2020-01-24,0.0,,7614893.0,,,Washington,,,,,,
,2020-01-24,0.0,0.0,7614893.0,,,us,,,,,,
,2020-01-25,0.0,0.0,7614893.0,,,us,,,,,,
Washington,2020-01-25,0.0,,7614893.0,,,Washington,,,,,,
,2020-01-26,0.0,0.0,7614893.0,,,us,,,,,,
Washington,2020-01-26,0.0,,7614893.0,,,Washington,,,,,,
,2020-01-27,0.0,0.0,7614893.0,,,us,,,,,,
Washington,2020-01-27,0.0,,7614893.0,,,Washington,,,,,,
Washington,2020-01-28,0.0,,7614893.0,,,Washington,0.2857142857142857,,,0.0002937720329024677,,
,2020-01-28,0.0,0.0,7614893.0,,,us,0.2857142857142857,0.0,,4.2986901890993814e-06,0.0,
Washington,2020-01-29,1.0,,7614893.0,,,Washington,0.14285714285714285,,,0.00014688601645123384,,
,2020-01-29,1.0,0.0,7614893.0,,,us,0.14285714285714285,0.0,,2.1493450945496907e-06,0.0,
,2020-01-30,0.0,0.0,7614893.0,,,us,0.14285714285714285,0.0,,2.1493450945496907e-06,0.0,
Washington,2020-01-30,0.0,,7614893.0,,,Washington,0.14285714285714285,,,0.00014688601645123384,,
Washington,2020-01-31,0.0,,7614893.0,,,Washington,0.14285714285714285,,,0.00014688601645123384,,
,2020-01-31,0.0,0.0,7614893.0,,,us,0.14285714285714285,0.0,,2.1493450945496907e-06,0.0,
,2020-02-01,1.0,0.0,7614893.0,,,us,0.2857142857142857,0.0,,4.2986901890993814e-06,0.0,
Washington,2020-02-01,1.0,,7614893.0,,,Washington,0.2857142857142857,,,0.0002937720329024677,,
Washington,2020-02-02,2.0,,7614893.0,,,Washington,0.5714285714285714,,,0.0005875440658049354,,
,2020-02-02,2.0,0.0,7614893.0,,,us,0.5714285714285714,0.0,,8.597380378198763e-06,0.0,
,2020-02-03,1.0,0.0,7614893.0,,,us,0.7142857142857143,0.0,,1.0746725472748454e-05,0.0,
Washington,2020-02-03,1.0,,7614893.0,,,Washington,0.7142857142857143,,,0.0007344300822561692,,
,2020-02-04,1.0,0.0,7614893.0,,,us,0.8571428571428571,0.0,,1.2896070567298144e-05,0.0,
Washington,2020-02-04,1.0,,7614893.0,,,Washington,0.8571428571428571,,,0.000881316098707403,,
,2020-02-05,0.0,0.0,7614893.0,,,us,0.7142857142857143,0.0,,1.0746725472748454e-05,0.0,
Washington,2020-02-05,0.0,,7614893.0,,,Washington,0.7142857142857143,,,0.0007344300822561692,,
Washington,2020-02-06,3.0,,7614893.0,,,Washington,1.1428571428571428,,,0.0011750881316098707,,
,2020-02-06,3.0,0.0,7614893.0,,,us,1.1428571428571428,0.0,,1.7194760756397526e-05,0.0,
,2020-02-07,1.0,0.0,7614893.0,,,us,1.2857142857142858,0.0,,1.934410585094722e-05,0.0,
Washington,2020-02-07,1.0,,7614893.0,,,Washington,1.2857142857142858,,,0.0013219741480611047,,
Washington,2020-02-08,1.0,,7614893.0,,,Washington,1.2857142857142858,,,0.0013219741480611047,,
,2020-02-08,1.0,0.0,7614893.0,,,us,1.2857142857142858,0.0,,1.934410585094722e-05,0.0,
Washington,2020-02-09,0.0,,7614893.0,,,Washington,1.0,,,0.001028202115158637,,
,2020-02-09,0.0,0.0,7614893.0,,,us,1.0,0.0,,1.5045415661847836e-05,0.0,
