aggregation,date,google_mobility_level_rolling_mean_stage,new_deaths_rolling_mean_stage,new_cases_rolling_mean_stage,state,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel,new_cases_rolling_mean_stage_day,new_deaths_rolling_mean_stage_day,google_mobility_level_rolling_mean_stage_day,new_cases_rolling_mean_cummax
Washington,2020-01-22,,,,Washington,2.0,,7614893.0,,,,,,,,,,,,
us,2020-01-22,,,,,2.0,0.0,7614893.0,,,,,,,,,,,,
us,2020-01-23,,,,,0.0,0.0,7614893.0,,,,,,,,,,,,
Washington,2020-01-23,,,,Washington,0.0,,7614893.0,,,,,,,,,,,,
Washington,2020-01-24,,,,Washington,0.0,,7614893.0,,,,,,,,,,,,
us,2020-01-24,,,,,0.0,0.0,7614893.0,,,,,,,,,,,,
us,2020-01-25,,,,,0.0,0.0,7614893.0,,,,,,,,,,,,
Washington,2020-01-25,,,,Washington,0.0,,7614893.0,,,,,,,,,,,,
us,2020-01-26,,,,,0.0,0.0,7614893.0,,,,,,,,,,,,
Washington,2020-01-26,,,,Washington,0.0,,7614893.0,,,,,,,,,,,,
us,2020-01-27,,,,,0.0,0.0,7614893.0,,,,,,,,,,,,
Washington,2020-01-27,,,,Washington,0.0,,7614893.0,,,,,,,,,,,,
us,2020-01-28,,,,,0.0,0.0,7614893.0,,,0.2857142857142857,0.0,,4.298690189099381e-06,0.0,,,,,0.2857142857142857
Washington,2020-01-28,,,,Washington,0.0,,7614893.0,,,0.2857142857142857,,,0.0002937720329024677,,,,,,0.2857142857142857
Washington,2020-01-29,,,,Washington,1.0,,7614893.0,,,0.14285714285714285,,,0.00014688601645123384,,,,,,0.2857142857142857
us,2020-01-29,,,,,1.0,0.0,7614893.0,,,0.14285714285714285,0.0,,2.149345094549691e-06,0.0,,,,,0.2857142857142857
us,2020-01-30,,,,,0.0,0.0,7614893.0,,,0.14285714285714285,0.0,,2.149345094549691e-06,0.0,,,,,0.2857142857142857
Washington,2020-01-30,,,,Washington,0.0,,7614893.0,,,0.14285714285714285,,,0.00014688601645123384,,,,,,0.2857142857142857
Washington,2020-01-31,,,,Washington,0.0,,7614893.0,,,0.14285714285714285,,,0.00014688601645123384,,,,,,0.2857142857142857
