Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations","Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)"
Afghanistan,AFG,2020-01-02,0,,,,,
Afghanistan,AFG,2020-01-03,0,,,,,
Afghanistan,AFG,2020-01-04,0,,,,,
Afghanistan,AFG,2020-01-05,0,,,,,
Afghanistan,AFG,2020-01-06,0,,,,,
Afghanistan,AFG,2020-01-07,0,,,,,
Afghanistan,AFG,2020-01-08,0,,,,,
Afghanistan,AFG,2020-01-09,0,,,,,
Afghanistan,AFG,2020-01-10,0,,,,,
Afghanistan,AFG,2020-01-11,0,,,,,
Afghanistan,AFG,2020-01-12,0,,,,,
Afghanistan,AFG,2020-01-13,0,,,,,
Afghanistan,AFG,2020-01-14,0,,,,,
Afghanistan,AFG,2020-01-15,0,,,,,
Afghanistan,AFG,2020-01-16,0,,,,,
Afghanistan,AFG,2020-01-17,0,,,,,
Afghanistan,AFG,2020-01-18,0,,,,,
Afghanistan,AFG,2020-01-19,0,,,,,
Afghanistan,AFG,2020-01-20,0,,,,,
Afghanistan,AFG,2020-01-21,0,,,,,
Afghanistan,AFG,2020-01-22,0,,,,,
Afghanistan,AFG,2020-01-23,0,,,,,
Afghanistan,AFG,2020-01-24,0,,,,,
Afghanistan,AFG,2020-01-25,0,,,,,
Afghanistan,AFG,2020-01-26,0,,,,,
Afghanistan,AFG,2020-01-27,0,,,,,
Afghanistan,AFG,2020-01-28,0,,,,,
Afghanistan,AFG,2020-01-29,0,,,,,
Afghanistan,AFG,2020-01-30,0,,,,,
Afghanistan,AFG,2020-01-31,0,,,,,
Afghanistan,AFG,2020-02-01,0,,,,,
Afghanistan,AFG,2020-02-02,0,,,,,
Afghanistan,AFG,2020-02-03,0,,,,,
Afghanistan,AFG,2020-02-04,0,,,2.487023665,,
Afghanistan,AFG,2020-02-05,0,,,5.990852371,,
Afghanistan,AFG,2020-02-06,0,,,9.966244808,,
Afghanistan,AFG,2020-02-07,0,,,14.52870181,,
Afghanistan,AFG,2020-02-08,0,,,20.05780577,,
Afghanistan,AFG,2020-02-09,0,,,23.73896737,,
Afghanistan,AFG,2020-02-10,0,,,27.65989258,,
Afghanistan,AFG,2020-02-11,0,,,31.73763122,,
Afghanistan,AFG,2020-02-12,0,,,35.87930097,,
Afghanistan,AFG,2020-02-13,0,,,39.99123816,,
Afghanistan,AFG,2020-02-14,0,,0,43.98949323,,
Afghanistan,AFG,2020-02-15,0,,0.32,47.80938211,,
Afghanistan,AFG,2020-02-16,0,,0.81,51.41180101,,
Afghanistan,AFG,2020-02-17,0,,0.99,54.78680556,,
Afghanistan,AFG,2020-02-18,0,,1.14,57.95355633,,
Afghanistan,AFG,2020-02-19,0,,1.43,60.95775099,,
Afghanistan,AFG,2020-02-20,0,,1.47,63.86826112,,
Afghanistan,AFG,2020-02-21,0,,1.63,66.77308851,,
Afghanistan,AFG,2020-02-22,0,,2.23,69.77629313,,
Afghanistan,AFG,2020-02-23,0,,2.8,72.9952552,,
Afghanistan,AFG,2020-02-24,0,,3.19,76.55935798,,
Afghanistan,AFG,2020-02-25,0.14286,,3.87,80.60833709,,
Afghanistan,AFG,2020-02-26,0.14286,,4.8,85.29061209,,
Afghanistan,AFG,2020-02-27,0.14286,,5.96,90.76252771,,
Afghanistan,AFG,2020-02-28,0.14286,,6.98,97.19046538,,
Afghanistan,AFG,2020-02-29,0.14286,,8.17,104.7534488,,
Afghanistan,AFG,2020-03-01,0.14286,,10.19,113.6462648,,
Afghanistan,AFG,2020-03-02,0.14286,,12.48,124.0825031,,
Afghanistan,AFG,2020-03-03,0,,14.97,136.2959217,,
Afghanistan,AFG,2020-03-04,0,,17.72,150.5402317,,
Afghanistan,AFG,2020-03-05,0,,20.64,167.086199,,
Afghanistan,AFG,2020-03-06,0,,23.44,186.2163461,,
Afghanistan,AFG,2020-03-07,,,28.74,208.2182674,,
Afghanistan,AFG,2020-03-08,,,34.37,233.374557,,
Afghanistan,AFG,2020-03-09,,,42.51,261.9478998,,
Afghanistan,AFG,2020-03-10,,,48.95,294.1666959,,
Afghanistan,AFG,2020-03-11,,,54.23,330.2124276,,
Afghanistan,AFG,2020-03-12,,,63.92,370.2081415,,
Afghanistan,AFG,2020-03-13,,,75.81,414.209215,,
Afghanistan,AFG,2020-03-14,,,89.87,462.1988491,,
Afghanistan,AFG,2020-03-15,,,105.63,514.088843,,
Afghanistan,AFG,2020-03-16,4,,127.43,569.7215041,,
Afghanistan,AFG,2020-03-17,4.25,,151.13,628.8766637,,
Afghanistan,AFG,2020-03-18,3.75,,175.61,691.2934769,,
Afghanistan,AFG,2020-03-19,3,,209.72,756.6985486,,
Afghanistan,AFG,2020-03-20,2.5,,243.34,824.8256497,,
Afghanistan,AFG,2020-03-21,2.42857,,283.67,895.4303975,,
Afghanistan,AFG,2020-03-22,2,,320.29,968.306449,,
